Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
ai,₹486.50,15,187,0.00,"(ai for lawyers, law ai india, legal ai)"
legal,₹284.80,9,104,0.00,"(legal ai, legal ai tools, legal drafting ai)"
for,₹239.81,7,78,0.00,"(ai for lawyers, ai for legal drafting, ai for law)"
drafting,₹128.22,4,45,0.00,"(legal drafting ai, legal drafting ai tool, ai for legal drafting)"
india,₹155.23,5,42,0.00,"(law ai india, legal india ai, legal ai tools in india)"
best,₹134.31,4,38,0.00,"(best ai for legal drafting, best ai for legal drafting in india, best ai tool for legal drafting)"
law,₹38.41,1,34,0.00,"(law ai india, law attorney ai, law ai)"
ai tools,₹92.11,3,26,0.00,"(legal ai tools, legal ai tools in india, ai tools for law)"
in,₹116.82,4,26,0.00,"(legal ai tools in india, ai for legal drafting in india, ai tools for legal drafting in india)"
lawyers,₹38.74,1,17,0.00,"(ai for lawyers, ai tools for indian lawyers, best ai for lawyers in india)"
ai tool,₹56.46,2,16,0.00,"(legal drafting ai tool, best ai tool for legal drafting, advocate ai tool)"
legal research,₹27.70,1,10,0.00,"(ai tools for legal research in india, which ai is best for legal research, ai for legal research)"
app,₹0.00,0,8,0.00,"(best ai app for legal drafting in india, indian legal llama app, law ai app)"
indian,₹0.00,0,7,0.00,"(indian law ai, ai tools for indian lawyers, indian legal llama app)"
legal advice,₹38.69,1,6,0.00,"(best ai for legal advice in india, legal advice ai, ai chatbot for legal advice)"
attorney,₹0.00,0,6,0.00,(law attorney ai)
legal documents,₹0.00,0,6,0.00,"(ai for drafting legal documents, ai tool for drafting legal documents, ai tools for drafting legal documents)"
ai lawyer,₹0.00,0,4,0.00,"(ai lawyer india, ai lawyer platform, ai lawyer website)"
advocate ai,₹28.01,1,4,0.00,"(advocate ai, advocate ai prompt, advocate ai tool)"
for advocates,₹0.00,0,3,0.00,"(ai for advocates, best ai for advocates)"
lawxy,₹0.00,0,3,0.00,(lawxy ai)
software,₹0.00,0,2,0.00,"(ai legal drafting software, ai software for lawyers)"
nyayguru,₹0.00,0,2,0.00,(nyayguru)
llama,₹0.00,0,2,0.00,(indian legal llama app)
review,₹0.00,0,2,0.00,(ai legal document review)
provakil,₹0.00,0,2,0.00,(provakil pricing)
kanoon,₹0.00,0,2,0.00,(kanoon ai)
cocounsel ai,₹0.00,0,2,0.00,"(cocounsel ai, cocounsel ai cost)"
which,₹0.00,0,2,0.00,(which ai is best for legal research)
models,₹36.82,1,2,0.00,(legal ai models)
is,₹0.00,0,2,0.00,(which ai is best for legal research)
court,₹0.00,0,2,0.00,(ai for court cases)
legal professionals,₹29.91,1,2,0.00,"(ai for legal professionals, ai tools for legal professionals)"
document,₹0.00,0,2,0.00,(ai legal document review)
draftmate,₹0.00,0,2,0.00,(draftmate ai)
digilawyer,₹0.00,0,2,0.00,(digilawyer ai)
law students,₹0.00,0,2,0.00,"(best ai for law students in india, best ai tool for law students)"
lawttorney,₹0.00,0,2,0.00,(lawttorney ai)
and,₹0.00,0,2,0.00,"(ai in law and legal practice, best ai for legal research and drafting)"
cases,₹0.00,0,2,0.00,(ai for court cases)
vikk,₹31.83,1,2,0.00,(vikk ai)
assistant,₹0.00,0,2,0.00,(legal assistant ai)
vakil,₹24.79,1,2,0.00,(vakil ai)
niyam,₹0.00,0,2,0.00,(niyam)
manupatra,₹0.00,0,2,0.00,(manupatra ai)
pricing,₹0.00,0,2,0.00,(provakil pricing)
com,₹0.00,0,1,0.00,(alexy com)
practice,₹0.00,0,1,0.00,(ai in law and legal practice)
contravault,₹0.00,0,1,0.00,(contravault ai)
issues,₹0.00,0,1,0.00,(best ai for legal issues)
claude,₹0.00,0,1,0.00,(claude for legal)
alexy,₹0.00,0,1,0.00,(alexy com)
model,₹0.00,0,1,0.00,(best ai model for legal advice)
guide,₹0.00,0,1,0.00,(ai tools for lawyers a practical guide)
agreement,₹39.92,1,1,0.00,(ai rental agreement)
work,₹0.00,0,1,0.00,(best ai for legal work)
contract,₹0.00,0,1,0.00,(ai contract)
council,₹0.00,0,1,0.00,(co council ai)
cae,₹0.00,0,1,0.00,(cae mine)
platform,₹0.00,0,1,0.00,(ai lawyer platform)
apps,₹0.00,0,1,0.00,(ai apps for lawyers)
mine,₹0.00,0,1,0.00,(cae mine)
chatbot,₹38.69,1,1,0.00,(ai chatbot for legal advice)
a,₹0.00,0,1,0.00,(ai tools for lawyers a practical guide)
clio,₹0.00,0,1,0.00,(clio ai)
website,₹0.00,0,1,0.00,(ai lawyer website)
practical,₹0.00,0,1,0.00,(ai tools for lawyers a practical guide)
cost,₹0.00,0,1,0.00,(cocounsel ai cost)
co,₹0.00,0,1,0.00,(co council ai)
rental,₹39.92,1,1,0.00,(ai rental agreement)
prompt,₹28.01,1,1,0.00,(advocate ai prompt)
